property_type,sector,price,bedRoom,bathroom,balcony,agePossession,built_up_area,servant room,store room,furnishing_type,luxury_category,floor_category
flat,sector 89,1.1,3,2,3,new,1550.0,0,0,unfurnished,semi-luxury,medium-rise
flat,sector 95,0.22,1,1,1,new,309.0,0,0,unfurnished,semi-luxury,low-rise
flat,sector 79,1.12,2,2,3,relatively new,1325.0,0,0,unfurnished,budget,medium-rise
flat,sector 63,1.55,2,2,2,under construction,1167.0,0,0,unfurnished,semi-luxury,low-rise
flat,sector 102,1.25,2,2,2,relatively new,1105.0,0,0,unfurnished,semi-luxury,low-rise
house,sector 103,3.15,4,5,0,relatively new,4700.0,0,0,unfurnished,semi-luxury,high-rise
flat,sector 2,1.55,3,4,3+,old,1745.0,1,0,unfurnished,semi-luxury,medium-rise
flat,sector 86,0.78,2,2,2,new,1360.0,0,0,unfurnished,semi-luxury,medium-rise
house,sector 54,2.0,9,9,3,relatively new,60.0,1,0,furnished,budget,high-rise
flat,sector 103,1.1,3,3,3+,new,1500.0,0,0,unfurnished,semi-luxury,medium-rise
flat,sector 95,0.45,2,2,2,new,632.0,0,0,semifurnished,budget,low-rise
flat,sector 92,0.49,2,2,2,relatively new,1109.0,0,0,unfurnished,semi-luxury,low-rise
flat,sector 36,3.65,3,3,2,new,2307.0,0,0,unfurnished,budget,high-rise
flat,sector 84,2.2,4,4,3,relatively new,3222.0,1,0,unfurnished,budget,medium-rise
flat,sector 92,0.95,4,5,3+,relatively old,1725.0,1,0,unfurnished,budget,medium-rise
flat,sector 65,2.8,3,3,0,relatively new,1828.03,0,0,unfurnished,semi-luxury,high-rise
house,sector 2,0.35,2,2,0,new,600.0,0,0,unfurnished,budget,low-rise
flat,sector 95,0.33,2,2,1,new,697.0,0,0,semifurnished,semi-luxury,high-rise
flat,sector 48,5.15,3,3,3+,relatively old,2364.0,1,0,furnished,semi-luxury,medium-rise
flat,sector 95,0.35,2,2,0,new,637.0,0,0,unfurnished,semi-luxury,medium-rise
flat,sector 110,3.7,4,5,3,relatively new,3091.0,1,0,unfurnished,luxury,medium-rise
flat,sector 61,1.41,2,2,2,under construction,1150.0,0,0,unfurnished,semi-luxury,low-rise
flat,sector 37,0.4,2,2,3,under construction,756.0,0,0,unfurnished,luxury,low-rise
flat,sector 92,0.75,4,4,3+,relatively new,1734.0,0,0,unfurnished,semi-luxury,low-rise
house,sector 33,11.5,5,6,3+,relatively new,4680.0,1,0,unfurnished,semi-luxury,medium-rise
flat,sector 107,1.65,4,5,3+,relatively new,2516.0,1,0,unfurnished,budget,high-rise
flat,sector 82,1.12,3,4,2,relatively new,1500.0,1,0,semifurnished,luxury,medium-rise
flat,sector 106,0.88,2,2,3+,relatively new,940.0,0,0,unfurnished,budget,low-rise
flat,sector 37,1.08,3,3,3,relatively new,1700.0,0,0,unfurnished,luxury,medium-rise
flat,sector 37,0.55,1,1,0,relatively new,669.0,0,0,unfurnished,semi-luxury,medium-rise
flat,sector 62,9.14,4,6,3,relatively new,3917.0,1,1,semifurnished,luxury,high-rise
flat,sector 62,4.25,3,3,3,under construction,1778.0,0,0,unfurnished,budget,medium-rise
flat,sector 86,0.9,3,3,2,new,1690.0,0,0,unfurnished,budget,medium-rise
house,sector 26,7.0,5,5,2,relatively new,1782.76,1,0,unfurnished,budget,low-rise
flat,sector 95,0.25,1,1,1,new,345.0,0,0,unfurnished,semi-luxury,medium-rise
flat,sector 89,1.1,3,1,0,new,1103.0,0,0,unfurnished,semi-luxury,low-rise
house,sector 50,11.95,3,3,2,relatively old,3240.0,1,0,unfurnished,semi-luxury,low-rise
flat,sector 47,0.24,1,1,1,relatively new,378.0,0,0,unfurnished,semi-luxury,high-rise
flat,sector 69,1.7,4,4,2,new,1827.0,0,0,unfurnished,luxury,medium-rise
flat,sector 81,2.21,3,3,3+,relatively new,1874.0,1,0,furnished,luxury,low-rise
house,sector 25,16.0,6,5,2,relatively new,6000.0,0,0,unfurnished,semi-luxury,low-rise
flat,sector 73,0.9,3,3,3,under construction,1622.0,1,0,unfurnished,semi-luxury,low-rise
flat,sector 71,0.6,2,2,1,relatively new,555.0,0,0,unfurnished,semi-luxury,medium-rise
flat,sector 88,1.3,3,3,3+,relatively new,1990.0,0,0,unfurnished,semi-luxury,medium-rise
flat,sector 111,5.25,4,6,3+,relatively new,4091.0,1,0,semifurnished,luxury,medium-rise
flat,sector 113,1.9,3,2,2,relatively new,1280.0,0,0,semifurnished,luxury,medium-rise
house,sector 89,3.0,4,4,0,old,3000.0,0,0,unfurnished,budget,low-rise
flat,sector 56,2.1,3,4,3+,old,2200.0,0,0,semifurnished,luxury,medium-rise
flat,sector 70,2.6,3,2,2,relatively old,2406.0,1,0,unfurnished,semi-luxury,high-rise
flat,sector 69,1.75,4,4,1,relatively new,1791.0,0,0,unfurnished,semi-luxury,high-rise
flat,sector 22,3.2,3,4,3+,new,2528.0,0,0,unfurnished,budget,low-rise
flat,sector 91,1.4,3,3,3+,relatively new,1700.0,0,0,unfurnished,semi-luxury,medium-rise
flat,sector 92,0.8,3,2,2,relatively new,1473.0,0,0,unfurnished,budget,low-rise
flat,sector 54,1.55,3,3,3,relatively old,1900.0,1,0,semifurnished,semi-luxury,low-rise
flat,sector 47,0.26,2,2,2,relatively old,524.0,0,0,unfurnished,budget,low-rise
flat,sector 65,4.7,3,3,3+,relatively new,2380.11,1,0,semifurnished,budget,medium-rise
flat,sector 67,2.8,3,3,3,relatively old,2047.08,1,0,furnished,budget,medium-rise
flat,sector 89,1.13,3,3,2,under construction,1473.0,0,0,unfurnished,semi-luxury,medium-rise
house,sector 43,1.65,4,4,3+,relatively old,540.0,0,0,furnished,budget,medium-rise
flat,sector 102,1.4,3,3,3,relatively new,1310.0,1,0,unfurnished,semi-luxury,medium-rise
flat,sector 33,1.1,2,2,2,relatively new,1275.0,0,0,unfurnished,semi-luxury,medium-rise
flat,sector 65,1.3,2,2,2,relatively new,809.0,0,0,unfurnished,semi-luxury,medium-rise
flat,sector 107,1.29,3,3,3+,relatively new,1684.0,0,0,semifurnished,luxury,low-rise
flat,sector 52,1.85,3,3,3,relatively old,2136.0,1,0,unfurnished,budget,medium-rise
flat,sector 85,2.14,4,4,3,relatively new,2300.0,1,0,unfurnished,budget,medium-rise
house,sector 82,3.85,5,6,3+,relatively new,5140.0,0,0,unfurnished,semi-luxury,medium-rise
flat,sector 83,0.78,2,2,2,relatively new,850.0,0,0,semifurnished,luxury,low-rise
flat,sector 65,2.86,3,3,3,under construction,2267.0,1,0,unfurnished,semi-luxury,high-rise
house,sector 63,3.85,3,3,3+,new,2771.0,1,0,semifurnished,luxury,medium-rise
flat,sector 67,2.98,3,3,3,relatively new,2047.13,0,0,semifurnished,budget,low-rise
flat,sector 85,1.35,2,2,3,under construction,102.0,0,0,unfurnished,budget,high-rise
flat,sector 99,0.4,2,2,2,new,731.0,0,0,unfurnished,budget,medium-rise
flat,sector 50,2.92,3,3,3,relatively old,2600.0,1,0,semifurnished,luxury,medium-rise
flat,sector 65,2.75,4,4,3,relatively new,1975.01,1,0,semifurnished,semi-luxury,low-rise
flat,sector 82,0.8,2,2,3,relatively new,1383.0,0,0,unfurnished,semi-luxury,medium-rise
flat,sector 2,1.0,2,2,2,new,833.0,0,0,semifurnished,budget,low-rise
house,sector 109,9.4,5,6,3+,relatively new,3600.0,1,1,semifurnished,luxury,low-rise
flat,sector 22,3.5,3,4,3+,new,2000.0,1,0,semifurnished,semi-luxury,medium-rise
flat,sector 109,1.5,3,3,3+,relatively new,1466.0,0,0,unfurnished,luxury,medium-rise
flat,sector 63,3.15,3,3,3,under construction,2152.82,0,0,unfurnished,budget,medium-rise
house,sector 21,1.6,5,5,2,relatively new,120.0,0,0,unfurnished,semi-luxury,low-rise
house,sector 103,2.25,3,5,3+,relatively new,3534.0,0,0,unfurnished,budget,medium-rise
flat,sector 99,1.23,3,5,3,relatively new,1815.0,1,0,unfurnished,semi-luxury,medium-rise
flat,sector 95,1.1,4,3,3,relatively new,2824.0,1,0,unfurnished,budget,medium-rise
flat,sector 103,1.34,3,3,3+,relatively new,1554.0,0,0,unfurnished,semi-luxury,high-rise
house,sector 105,1.35,5,3,3,relatively old,3500.0,0,0,unfurnished,budget,low-rise
flat,sector 81,4.4,4,4,3+,new,3700.0,1,0,furnished,budget,medium-rise
flat,sector 50,3.1,3,4,3+,relatively old,2450.0,1,0,semifurnished,luxury,medium-rise
flat,sector 90,0.85,3,4,3,relatively new,1672.0,1,1,unfurnished,semi-luxury,low-rise
flat,sector 104,1.83,3,4,3+,relatively new,2000.0,1,0,unfurnished,luxury,medium-rise
flat,sector 106,1.4,3,4,3+,under construction,1600.0,1,0,unfurnished,semi-luxury,high-rise
flat,sector 77,1.79,3,3,3,new,1600.0,1,0,semifurnished,budget,low-rise
flat,sector 2,0.95,2,2,1,relatively new,1100.0,0,0,unfurnished,semi-luxury,low-rise
flat,sector 28,1.91,2,2,2,new,1278.0,0,0,furnished,semi-luxury,high-rise
flat,sector 102,1.45,3,3,3,relatively new,1300.0,1,0,unfurnished,budget,medium-rise
flat,sector 67,2.32,3,4,3+,relatively old,1757.0,1,0,semifurnished,semi-luxury,high-rise
flat,sector 108,2.15,3,4,3+,relatively new,4600.0,0,0,unfurnished,semi-luxury,high-rise
flat,sector 2,0.2,1,1,1,relatively old,556.0,0,0,unfurnished,budget,low-rise
flat,sector 61,1.57,2,2,2,new,1150.0,0,0,unfurnished,semi-luxury,low-rise
house,sector 33,11.0,5,6,3,new,4124.95,1,0,unfurnished,budget,low-rise
flat,sector 93,0.85,2,2,0,relatively new,597.0,0,0,unfurnished,budget,medium-rise
flat,sector 76,1.08,3,3,3,new,1782.0,1,0,unfurnished,semi-luxury,low-rise
flat,sector 112,5.49,4,5,3+,relatively new,3655.31,1,0,semifurnished,luxury,medium-rise
flat,sector 92,1.44,4,4,3,relatively new,2267.0,0,0,unfurnished,budget,medium-rise
flat,sector 85,0.9,3,3,3,relatively new,1443.0,0,0,unfurnished,budget,medium-rise
flat,sector 85,1.3,2,2,3+,relatively new,1400.0,0,1,unfurnished,luxury,high-rise
flat,sector 3,0.42,2,2,1,relatively new,833.0,0,0,semifurnished,budget,low-rise
flat,sector 81,0.64,2,2,2,relatively old,982.0,0,0,unfurnished,semi-luxury,high-rise
flat,sector 77,1.75,3,3,3+,relatively new,1900.0,1,0,unfurnished,semi-luxury,high-rise
house,sector 3,0.58,2,2,1,relatively old,67.0,0,0,unfurnished,budget,low-rise
flat,sector 107,0.5,3,2,2,relatively new,850.0,0,0,unfurnished,budget,medium-rise
flat,sector 85,1.1,3,4,3,relatively old,1461.0,1,0,furnished,semi-luxury,medium-rise
house,sector 70,5.4,4,5,3+,relatively new,2610.0,1,1,semifurnished,luxury,low-rise
flat,sector 108,1.6,3,4,3+,relatively new,1140.97,1,0,semifurnished,semi-luxury,low-rise
flat,sector 56,1.65,3,3,3+,relatively old,2141.0,0,0,semifurnished,luxury,medium-rise
flat,sector 47,0.54,2,2,3,new,530.0,0,0,unfurnished,budget,medium-rise
flat,sector 37,1.0,3,5,3,under construction,1841.0,1,0,unfurnished,budget,high-rise
flat,sector 7,0.45,2,2,1,relatively new,1000.0,0,0,unfurnished,budget,medium-rise
flat,sector 70,2.35,4,4,3+,relatively old,2667.0,1,0,unfurnished,semi-luxury,medium-rise
flat,sector 50,1.14,2,2,2,relatively old,1330.0,0,0,furnished,luxury,high-rise
house,sector 49,2.5,3,3,2,relatively old,1900.0,0,1,unfurnished,semi-luxury,low-rise
flat,sector 65,1.9,2,2,2,relatively new,1358.0,0,0,unfurnished,semi-luxury,high-rise
house,sector 26,17.0,5,5,3+,relatively new,4518.0,1,1,semifurnished,semi-luxury,low-rise
flat,sector 47,1.5,2,2,3+,under construction,1539.0,0,0,unfurnished,semi-luxury,low-rise
flat,sector 84,0.85,2,2,3,new,1227.0,0,0,unfurnished,budget,medium-rise
flat,sector 69,0.9,3,2,3,relatively new,1473.0,0,0,unfurnished,luxury,medium-rise
house,sector 33,9.5,5,7,3+,under construction,4071.49,1,1,unfurnished,budget,low-rise
flat,sector 70,0.53,2,2,2,under construction,995.0,0,0,unfurnished,budget,medium-rise
flat,sector 70,1.64,3,3,3+,new,1950.0,1,0,unfurnished,luxury,medium-rise
flat,sector 47,0.32,2,2,2,relatively new,616.0,0,0,semifurnished,budget,high-rise
flat,sector 89,1.16,3,3,2,under construction,1581.0,0,0,unfurnished,semi-luxury,low-rise
flat,sector 30,1.3,3,3,2,old,1395.0,0,0,unfurnished,budget,low-rise
flat,sector 37,1.05,3,3,3,relatively new,1745.0,0,0,semifurnished,semi-luxury,medium-rise
flat,sector 9,1.25,4,3,3,old,2007.0,1,0,semifurnished,budget,low-rise
flat,sector 24,14.0,4,5,3,old,6300.0,0,0,unfurnished,semi-luxury,low-rise
house,sector 39,15.0,5,5,3+,relatively old,4500.0,1,0,semifurnished,budget,medium-rise
flat,sector 79,2.01,3,4,3+,relatively new,2151.0,1,0,unfurnished,luxury,medium-rise
flat,sector 47,1.5,2,2,3,new,1361.0,0,0,unfurnished,budget,high-rise
flat,sector 69,1.7,4,4,2,relatively new,1797.0,1,1,unfurnished,luxury,medium-rise
flat,sector 67,2.35,3,4,3+,relatively old,1759.0,1,0,semifurnished,luxury,high-rise
flat,sector 85,1.2,3,4,2,relatively new,1650.0,1,0,unfurnished,budget,medium-rise
flat,sector 47,0.65,2,1,2,new,913.0,0,0,unfurnished,semi-luxury,low-rise
flat,sector 3,1.2,2,2,3,under construction,1313.0,0,0,unfurnished,semi-luxury,low-rise
flat,sector 104,4.45,4,5,3+,relatively new,7222.0,0,0,unfurnished,semi-luxury,high-rise
flat,sector 86,1.3,4,6,2,new,2533.0,1,0,unfurnished,semi-luxury,high-rise
flat,sector 83,1.05,3,3,3,relatively new,1612.0,0,1,unfurnished,semi-luxury,low-rise
flat,sector 77,2.25,3,3,3,new,1818.0,1,0,semifurnished,budget,high-rise
flat,sector 89,0.9,2,2,2,new,1105.0,0,0,unfurnished,semi-luxury,low-rise
house,sector 43,8.25,5,6,3+,relatively old,2700.0,1,1,semifurnished,semi-luxury,low-rise
flat,sector 67,3.4,3,4,3,relatively new,2144.0,1,0,semifurnished,luxury,high-rise
house,sector 66,9.0,4,4,3+,relatively new,5200.0,1,1,semifurnished,semi-luxury,low-rise
flat,sector 104,1.85,3,4,3+,relatively new,2082.0,1,1,unfurnished,semi-luxury,high-rise
flat,sector 84,0.39,2,2,0,relatively new,547.0,0,0,unfurnished,budget,medium-rise
flat,sector 61,1.6,2,2,2,new,1278.0,0,0,unfurnished,luxury,low-rise
house,sector 26,16.0,4,4,3,relatively new,4235.27,0,1,unfurnished,budget,low-rise
flat,sector 47,0.9,3,3,3,relatively new,1599.0,0,0,unfurnished,semi-luxury,low-rise
flat,sector 86,0.74,2,2,1,under construction,1236.0,0,0,unfurnished,budget,high-rise
flat,sector 56,0.55,1,2,1,old,678.0,0,0,unfurnished,semi-luxury,low-rise
flat,sector 61,1.85,2,2,2,new,1389.0,0,0,unfurnished,budget,low-rise
flat,sector 63,3.7,3,3,3+,under construction,2667.0,0,0,unfurnished,semi-luxury,low-rise
flat,sector 63,3.0,3,3,3,new,2000.0,0,0,unfurnished,budget,low-rise
flat,sector 65,2.5,3,3,3,under construction,1662.0,0,0,unfurnished,semi-luxury,high-rise
flat,sector 48,1.75,3,3,3,old,2200.0,1,0,furnished,semi-luxury,medium-rise
flat,sector 70,0.95,2,2,1,new,930.0,0,0,semifurnished,semi-luxury,high-rise
house,sector 109,6.44,4,5,3+,new,2430.0,1,1,unfurnished,luxury,low-rise
flat,sector 63,1.4,2,2,2,under construction,1372.0,0,0,unfurnished,budget,low-rise
flat,sector 69,1.66,3,3,2,relatively new,1489.0,0,0,unfurnished,luxury,low-rise
flat,sector 5,0.26,1,1,1,relatively new,648.0,0,0,unfurnished,budget,low-rise
flat,sector 90,0.9,3,4,3,relatively new,1773.0,1,0,unfurnished,luxury,medium-rise
house,sector 33,8.0,4,4,3+,old,7000.0,1,1,unfurnished,semi-luxury,low-rise
house,sector 12,0.7,3,3,0,relatively new,1160.0,0,0,unfurnished,budget,low-rise
flat,sector 103,0.5,2,2,0,relatively new,750.0,0,0,unfurnished,semi-luxury,medium-rise
flat,sector 68,1.15,2,2,3,new,1132.0,0,0,unfurnished,budget,medium-rise
flat,sector 49,0.8,1,1,1,relatively old,720.0,0,0,unfurnished,semi-luxury,low-rise
flat,sector 65,2.9,4,4,3+,relatively new,1975.07,1,0,semifurnished,luxury,medium-rise
flat,sector 110,3.79,5,5,3,relatively new,3482.0,1,0,unfurnished,semi-luxury,medium-rise
flat,sector 86,1.56,3,4,3+,relatively new,1580.0,0,1,unfurnished,luxury,high-rise
house,sector 4,5.0,3,3,2,old,4950.0,0,0,unfurnished,budget,low-rise
flat,sector 43,6.0,4,4,3+,old,2556.0,1,0,semifurnished,luxury,high-rise
flat,sector 47,1.31,2,2,2,under construction,85.0,0,0,unfurnished,semi-luxury,medium-rise
flat,sector 102,0.95,2,2,2,relatively new,915.0,0,0,unfurnished,semi-luxury,high-rise
flat,sector 89,1.33,3,3,3,under construction,1423.0,0,0,unfurnished,semi-luxury,medium-rise
flat,sector 65,3.67,3,3,2,under construction,2040.02,1,0,unfurnished,budget,high-rise
flat,sector 99,0.72,2,2,2,relatively new,784.0,0,1,unfurnished,budget,high-rise
house,sector 50,12.25,5,7,3+,relatively new,5850.0,1,0,semifurnished,luxury,low-rise
house,sector 26,4.5,3,3,2,old,1350.01,0,0,semifurnished,semi-luxury,low-rise
flat,sector 99,1.56,3,5,3,new,1815.0,1,0,unfurnished,budget,medium-rise
flat,sector 47,0.3,2,2,2,relatively new,514.0,0,0,unfurnished,budget,medium-rise
flat,sector 72,3.2,4,4,3+,relatively old,2600.0,1,0,semifurnished,luxury,medium-rise
flat,sector 85,1.22,2,2,3,relatively new,1300.0,0,1,unfurnished,semi-luxury,high-rise
flat,sector 47,0.79,3,2,3+,under construction,983.0,0,0,unfurnished,semi-luxury,medium-rise
flat,sector 95,0.18,1,1,1,relatively new,3569.0,0,0,unfurnished,budget,high-rise
flat,sector 109,1.6,3,3,3,relatively new,1550.0,0,0,unfurnished,semi-luxury,medium-rise
flat,sector 107,0.75,2,2,3+,relatively new,1197.0,0,0,unfurnished,luxury,high-rise
flat,sector 47,0.53,2,2,2,relatively new,939.0,0,0,unfurnished,luxury,low-rise
flat,sector 37,1.44,3,3,3+,new,2211.0,1,0,unfurnished,budget,medium-rise
flat,sector 69,1.55,3,3,2,relatively new,1435.0,0,0,semifurnished,luxury,medium-rise
flat,sector 65,2.4,3,3,3,relatively new,1600.0,1,0,semifurnished,budget,low-rise
flat,sector 106,1.2,3,4,3+,relatively new,1186.0,1,0,unfurnished,luxury,medium-rise
flat,sector 90,0.8,2,3,2,relatively new,1350.0,0,0,unfurnished,semi-luxury,low-rise
flat,sector 76,1.46,4,6,3+,new,2409.0,1,0,unfurnished,semi-luxury,medium-rise
flat,sector 47,0.95,2,2,3+,new,1125.0,0,0,semifurnished,semi-luxury,medium-rise
flat,sector 86,0.45,2,2,1,under construction,646.0,0,0,unfurnished,semi-luxury,medium-rise
flat,sector 22,2.0,2,2,2,relatively new,1533.0,0,0,unfurnished,budget,medium-rise
house,sector 26,5.8,5,5,3+,old,1800.01,1,1,unfurnished,semi-luxury,low-rise
flat,sector 81,2.2,3,4,3+,relatively new,2471.0,1,0,semifurnished,luxury,medium-rise
flat,sector 109,1.88,4,5,3,relatively new,2777.0,0,0,unfurnished,semi-luxury,medium-rise
flat,sector 67,2.95,3,3,3+,relatively old,2236.0,1,0,semifurnished,luxury,high-rise
flat,sector 28,2.35,3,3,2,old,1615.0,1,0,unfurnished,semi-luxury,high-rise
flat,sector 37,1.72,3,3,3,relatively new,1368.0,0,0,semifurnished,budget,medium-rise
flat,sector 103,2.36,4,6,3+,relatively new,2717.0,1,0,semifurnished,luxury,medium-rise
flat,sector 81,2.45,3,3,2,relatively new,1800.0,1,0,semifurnished,luxury,medium-rise
flat,sector 74,2.2,3,3,3,new,1835.0,0,0,semifurnished,budget,high-rise
flat,sector 108,0.98,2,3,3,relatively new,734.42,1,1,semifurnished,budget,high-rise
flat,sector 54,7.0,4,6,3+,relatively old,2727.0,1,1,semifurnished,semi-luxury,high-rise
flat,sector 72,4.1,3,3,3,relatively old,2318.0,1,0,unfurnished,budget,medium-rise
flat,sector 69,1.0,4,3,0,relatively new,1826.0,0,0,unfurnished,semi-luxury,low-rise
flat,sector 90,1.78,4,4,3+,relatively new,2014.0,0,0,unfurnished,semi-luxury,high-rise
flat,sector 104,1.85,3,3,3+,relatively new,2082.0,1,0,unfurnished,luxury,high-rise
flat,sector 83,1.15,3,3,1,relatively old,1600.0,0,0,semifurnished,semi-luxury,medium-rise
flat,sector 65,2.79,3,3,3,new,1969.23,0,0,unfurnished,budget,high-rise
house,sector 43,5.5,1,1,0,old,1934.98,0,0,unfurnished,budget,low-rise
flat,sector 63,1.65,2,2,2,under construction,983.0,0,0,unfurnished,semi-luxury,low-rise
flat,sector 81,0.45,2,2,2,relatively new,664.0,0,1,semifurnished,budget,medium-rise
flat,sector 1,0.81,3,3,3+,relatively old,1900.0,1,0,unfurnished,semi-luxury,low-rise
flat,sector 102,0.45,1,1,2,relatively new,750.0,0,0,unfurnished,semi-luxury,medium-rise
flat,sector 22,1.99,2,2,2,new,1285.0,0,0,unfurnished,budget,medium-rise
flat,sector 36,0.5,1,1,1,new,600.0,0,0,unfurnished,budget,medium-rise
flat,sector 47,1.55,3,2,3+,new,1730.0,0,0,unfurnished,budget,medium-rise
flat,sector 92,0.82,3,3,3+,relatively new,1523.0,0,0,unfurnished,semi-luxury,high-rise
flat,sector 63,2.2,3,4,3+,relatively old,1561.0,0,0,semifurnished,semi-luxury,medium-rise
flat,sector 62,2.45,2,2,2,new,1200.0,0,0,furnished,luxury,medium-rise
flat,sector 92,0.65,3,3,3,relatively old,1309.0,0,0,unfurnished,semi-luxury,low-rise
flat,sector 39,2.0,3,3,3+,old,2400.0,0,0,unfurnished,semi-luxury,low-rise
flat,sector 103,0.88,2,2,3,new,1237.0,0,0,unfurnished,semi-luxury,low-rise
house,sector 48,8.4,4,5,3+,relatively old,4000.0,1,0,semifurnished,budget,low-rise
flat,sector 102,1.82,3,4,3+,relatively new,1765.0,1,0,unfurnished,semi-luxury,high-rise
house,sector 7,0.53,2,2,0,old,900.0,0,0,unfurnished,budget,low-rise
flat,sector 65,6.15,3,5,3+,relatively new,4271.0,1,0,furnished,budget,low-rise
flat,sector 90,1.55,4,4,3+,relatively new,2149.0,1,0,unfurnished,semi-luxury,low-rise
flat,sector 85,1.18,2,2,3,relatively new,1630.0,0,0,unfurnished,budget,medium-rise
flat,sector 70,1.15,2,2,3,new,1400.0,0,0,unfurnished,luxury,medium-rise
house,sector 3,0.9,3,3,0,relatively old,112.0,0,0,unfurnished,budget,low-rise
house,sector 48,18.5,4,4,1,relatively old,7000.0,0,0,unfurnished,budget,low-rise
flat,sector 90,1.25,3,3,3+,relatively new,1700.0,1,0,unfurnished,semi-luxury,high-rise
flat,sector 7,0.54,2,2,1,relatively new,1000.0,0,0,unfurnished,semi-luxury,low-rise
flat,sector 83,1.25,3,3,2,relatively old,1700.0,1,0,unfurnished,semi-luxury,high-rise
flat,sector 104,0.22,1,2,2,new,335.0,0,0,unfurnished,semi-luxury,low-rise
flat,sector 81,2.2,3,4,3+,relatively new,1909.0,1,0,furnished,semi-luxury,medium-rise
flat,sector 49,1.9,3,3,3,relatively old,2006.0,1,0,semifurnished,semi-luxury,medium-rise
house,sector 109,7.0,5,6,2,relatively new,5400.0,1,0,unfurnished,luxury,low-rise
flat,sector 70,1.66,3,3,3+,new,1900.0,1,0,unfurnished,luxury,medium-rise
flat,sector 79,1.34,2,2,3,relatively new,1429.0,0,0,unfurnished,luxury,low-rise
house,sector 25,6.5,5,5,3+,old,1800.01,1,1,semifurnished,luxury,low-rise
flat,sector 104,1.2,3,2,3+,relatively new,1607.0,0,0,semifurnished,luxury,high-rise
house,sector 48,7.8,4,4,3+,relatively new,3240.0,1,1,semifurnished,luxury,low-rise
house,sector 49,6.75,4,4,3,relatively new,2087.97,1,0,semifurnished,budget,low-rise
flat,sector 47,1.05,2,2,2,relatively new,1108.0,0,0,semifurnished,budget,low-rise
flat,sector 2,1.01,2,2,3,relatively old,1286.0,0,0,unfurnished,semi-luxury,low-rise
house,sector 43,2.1,10,10,3+,new,549.0,1,0,unfurnished,budget,medium-rise
flat,sector 65,6.15,3,3,3,relatively old,3015.0,1,0,semifurnished,semi-luxury,high-rise
flat,sector 50,1.5,4,4,3+,old,2013.0,1,0,unfurnished,luxury,medium-rise
flat,sector 102,1.1,2,2,1,relatively new,915.0,0,0,unfurnished,semi-luxury,medium-rise
flat,sector 102,0.97,2,2,2,relatively new,739.0,0,0,unfurnished,luxury,medium-rise
flat,sector 84,0.88,3,3,3,relatively new,1841.0,0,0,unfurnished,semi-luxury,medium-rise
flat,sector 70,1.34,2,2,3+,new,1185.0,0,0,semifurnished,semi-luxury,high-rise
flat,sector 50,0.38,1,1,1,relatively old,567.0,0,0,unfurnished,budget,high-rise
flat,sector 108,0.7,2,2,1,relatively old,1468.0,0,0,unfurnished,semi-luxury,medium-rise
flat,sector 86,0.87,2,2,1,new,1236.0,0,0,semifurnished,budget,high-rise
flat,sector 28,2.26,3,3,2,old,1700.0,1,0,unfurnished,luxury,high-rise
flat,sector 95,0.38,2,2,2,relatively new,716.0,0,0,unfurnished,semi-luxury,medium-rise
flat,sector 90,1.19,3,3,2,relatively new,1569.0,0,0,unfurnished,semi-luxury,high-rise
flat,sector 107,1.02,2,2,3,relatively new,1395.0,0,0,unfurnished,semi-luxury,medium-rise
flat,sector 102,1.77,3,3,3,relatively new,1661.0,0,0,unfurnished,luxury,low-rise
flat,sector 85,1.25,2,2,3+,relatively new,1420.0,0,1,unfurnished,luxury,high-rise
flat,sector 84,0.41,2,2,2,new,565.0,0,0,semifurnished,budget,medium-rise
flat,sector 92,1.6,3,3,3,relatively new,1758.0,1,0,semifurnished,semi-luxury,medium-rise
flat,sector 79,1.3,2,4,2,relatively new,1228.0,0,0,unfurnished,semi-luxury,low-rise
flat,sector 81,0.96,2,2,2,under construction,1194.0,0,0,unfurnished,budget,low-rise
flat,sector 82,1.39,3,3,3+,relatively new,1964.0,1,0,semifurnished,semi-luxury,high-rise
flat,sector 66,3.0,3,3,2,relatively new,1950.08,1,0,unfurnished,semi-luxury,high-rise
flat,sector 50,3.25,3,4,3+,old,2819.0,1,0,semifurnished,luxury,medium-rise
house,sector 23,5.65,7,7,3+,relatively old,5000.0,1,0,unfurnished,budget,low-rise
flat,sector 56,1.39,3,2,3,old,1750.0,1,0,semifurnished,semi-luxury,medium-rise
house,sector 43,2.55,3,3,2,relatively new,1935.04,0,0,semifurnished,semi-luxury,low-rise
house,sector 54,3.75,4,4,3,relatively old,1440.0,1,0,semifurnished,budget,low-rise
house,sector 50,10.45,4,5,2,relatively old,4000.0,1,0,semifurnished,luxury,low-rise
house,sector 57,9.25,5,5,3+,relatively new,5580.02,1,1,semifurnished,luxury,medium-rise
flat,sector 112,0.7,2,2,2,relatively new,1498.0,0,0,unfurnished,semi-luxury,medium-rise
flat,sector 102,1.75,3,3,3+,relatively new,1460.0,0,0,unfurnished,budget,low-rise
flat,sector 107,0.9,2,2,3+,relatively new,1242.0,0,0,unfurnished,budget,medium-rise
house,sector 55,2.8,4,4,0,old,1499.97,0,0,unfurnished,budget,low-rise
house,sector 5,3.5,5,4,2,old,2367.0,0,0,unfurnished,budget,low-rise
flat,sector 3,1.3,2,2,2,under construction,1604.0,0,0,unfurnished,budget,medium-rise
