property_type,sector,price,bedRoom,bathroom,balcony,agePossession,built_up_area,servant room,store room,furnishing_type,luxury_category,floor_category
house,sector 92,2.75,4,4,3+,relatively new,5000.0,0,0,unfurnished,semi-luxury,low-rise
flat,sector 51,0.3,1,1,0,relatively old,80.0,0,0,unfurnished,budget,low-rise
flat,sector 89,0.8,2,3,3,under construction,1509.0,0,0,unfurnished,semi-luxury,medium-rise
flat,sector 69,1.68,4,4,2,relatively new,1827.0,0,0,unfurnished,luxury,medium-rise
flat,sector 93,1.25,4,4,3,relatively new,2105.0,0,0,unfurnished,budget,high-rise
house,sector 14,6.46,5,5,2,relatively old,3419.98,1,0,semifurnished,budget,low-rise
flat,sector 85,2.05,4,4,3+,relatively new,2500.0,1,0,semifurnished,budget,medium-rise
flat,sector 86,1.55,4,4,3+,relatively old,2030.0,1,0,semifurnished,semi-luxury,high-rise
flat,sector 102,2.5,4,5,3+,relatively new,2600.0,1,0,semifurnished,luxury,medium-rise
flat,sector 109,2.3,3,4,3+,new,2350.0,1,0,unfurnished,semi-luxury,medium-rise
house,sector 5,3.75,5,5,3+,old,3400.0,0,0,unfurnished,budget,low-rise
flat,sector 89,1.28,3,3,2,under construction,1611.0,0,0,unfurnished,luxury,medium-rise
flat,sector 48,1.42,3,3,3,relatively old,1500.0,0,1,furnished,luxury,low-rise
flat,sector 106,1.13,3,4,3+,relatively new,1186.0,1,0,unfurnished,budget,high-rise
house,sector 3,0.61,2,2,2,relatively old,61.0,0,0,unfurnished,budget,low-rise
flat,sector 92,0.7,3,3,0,relatively new,1572.0,0,0,unfurnished,semi-luxury,medium-rise
flat,sector 81,0.95,2,2,2,relatively new,1260.0,0,0,semifurnished,luxury,high-rise
flat,sector 90,1.13,3,3,3+,relatively new,1573.0,0,0,unfurnished,semi-luxury,medium-rise
flat,sector 2,7.5,4,4,3+,new,4864.0,1,0,semifurnished,budget,high-rise
