property_type,society,sector,price_in_cr,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,servant room,study room,pooja room,store room,others,furnishing_type,luxury_score,area_bedroom_ratio
flat,smart world orchard,sector 61,2.3,14110.0,1630.05,Super Built up area 1630(151.43 sq.m.),3,3,2,2.0,,under construction,1630.0,,,0,1,0,0,0,1,62.0,543.35
flat,ireo the corridors,sector 67,1.8,14657.98,1228.0,Super Built up area 1921(178.47 sq.m.)Carpet area: 1227.96 sq.ft. (114.08 sq.m.),3,3,3,6.0,north,new,1921.0,,1227.95,1,0,0,1,0,0,122.0,409.3333333333333
flat,ireo victory valley,sector 67,3.65,13527.99,2698.11,Super Built up area 2698(250.65 sq.m.)Built Up area: 2490 sq.ft. (231.33 sq.m.),3,4,3+,18.0,north,relatively new,2698.0,2490.0,,1,0,1,0,0,0,67.0,899.37
flat,adani m2k oyster grande,sector 102,2.6,10007.0,2598.18,Super Built up area 2598(241.36 sq.m.),3,3,3,2.0,north-east,relatively new,2598.0,,,1,1,0,1,0,1,101.0,866.06
house,unitech espace,sector 50,10.3,31790.03,3240.01,Plot area 360(301.01 sq.m.),5,6,3+,3.0,East,relatively old,,3240.0,,1,1,1,1,0,0,134.0,648.0020000000001
house,dlf pink town house,sector 24,1.9,3786.0,5018.49,Built Up area: 5018 (466.19 sq.m.),10,9,3+,3.0,North,relatively new,,5018.0,,0,0,0,0,1,2,20.0,501.849
flat,godrej oasis,sector 88,1.4,7566.99,1850.14,Super Built up area 1850(171.87 sq.m.),3,3,3+,4.0,east,relatively new,1850.0,,,0,0,0,0,0,0,40.0,616.7133333333334
flat,tarc maceo,sector 91,0.95,5953.99,1595.57,Super Built up area 1310(121.7 sq.m.),2,2,2,10.0,east,relatively new,1310.0,,,0,0,0,0,0,1,65.0,797.785
house,unitech uniworld resorts,sector 33,9.5,19332.52,4914.0,Plot area 546(50.73 sq.m.),6,6,3+,3.0,North-East,relatively old,,546.0,,0,0,0,0,0,0,21.0,819.0
flat,m3m skycity,sector 65,2.1,16030.04,1310.04,Super Built up area 1310(121.7 sq.m.),2,2,2,43.0,,new,1310.0,,,0,0,0,0,0,1,96.0,655.02
flat,orris aster court premier,sector 85,1.49,5819.99,2560.14,Super Built up area 2560(237.83 sq.m.)Built Up area: 2017 sq.ft. (187.39 sq.m.)Carpet area: 1890 sq.ft. (175.59 sq.m.),4,5,3+,10.0,east,relatively new,2560.0,2017.0,1890.0,1,0,0,0,0,0,65.0,640.035
flat,indiabulls centrum park,sector 103,1.15,7765.02,1481.0,Super Built up area 1481(137.59 sq.m.)Built Up area: 1250 sq.ft. (116.13 sq.m.),2,2,3,8.0,north-east,relatively new,1481.0,1250.0,,0,1,0,0,0,0,111.0,740.5
flat,ss the leaf,sector 85,1.2,10451.96,1148.11,Super Built up area 1640(152.36 sq.m.)Carpet area: 1148 sq.ft. (106.65 sq.m.),2,2,3+,2.0,west,relatively new,1640.0,,1148.0,0,0,0,1,0,1,128.0,574.055
flat,sare crescent parc,sector 92,1.0,5127.99,1950.08,Carpet area: 1950 (181.16 sq.m.),4,3,2,1.0,east,relatively new,,,1950.0,0,0,0,0,0,1,24.0,487.52
flat,essel towers,sector 14,2.2,12500.0,1760.0,Carpet area: 1760 (163.51 sq.m.),3,4,3+,3.0,,undefined,,,1760.0,0,0,0,0,0,1,,586.6666666666666
flat,ramsons kshitij,sector 95,0.45,4590.99,980.18,Super Built up area 980(91.04 sq.m.),2,2,1,2.0,,relatively new,980.0,,,0,1,0,0,0,1,67.0,490.09
house,emaar mgf marbella,sector 66,12.0,37037.04,3240.0,Plot area 360(301.01 sq.m.),4,4,3+,3.0,East,relatively new,,3240.0,,1,1,1,1,0,0,134.0,810.0
house,dlf city plots phase 4,sector 28,9.54,29443.99,3240.05,Plot area 360(301.01 sq.m.),6,5,3+,3.0,North,new,,3240.0,,1,1,1,1,0,1,117.0,540.0083333333333
flat,avl 36 gurgaon,sector 36,0.4,10204.08,392.0,Carpet area: 392 (36.42 sq.m.),1,1,1,4.0,west,relatively new,,,392.0,0,0,0,0,0,1,19.0,392.0
flat,ss the leaf,sector 85,2.2,11178.01,1968.15,Super Built up area 2812(261.24 sq.m.)Built Up area: 2390 sq.ft. (222.04 sq.m.)Carpet area: 1968 sq.ft. (182.83 sq.m.),4,5,3+,4.0,west,relatively new,2812.0,2390.0,1968.0,1,0,1,0,0,1,151.0,492.0375
flat,bptp terra,sector 37,1.78,8124.0,2191.04,Super Built up area 2191(203.55 sq.m.),4,3,3,10.0,east,relatively new,2191.0,,,1,0,0,0,0,1,88.0,547.76
flat,bestech spa signature,sector 81,4.45,10595.01,4200.09,Super Built up area 4200(390.19 sq.m.)Built Up area: 3850 sq.ft. (357.68 sq.m.)Carpet area: 3600 sq.ft. (334.45 sq.m.),4,4,3+,8.0,south-west,relatively new,4200.0,3850.0,3600.0,1,1,1,0,1,0,24.0,1050.0225
flat,assotech blith,sector 99,1.6,6667.0,2399.88,Built Up area: 2400 (222.97 sq.m.),3,4,0,15.0,,undefined,,2400.0,,0,0,0,0,0,1,59.0,799.96
flat,dlf the ultima,sector 81,2.3,14375.0,1600.0,Super Built up area 2132(198.07 sq.m.)Carpet area: 1600 sq.ft. (148.64 sq.m.),3,4,3+,18.0,north-east,relatively new,2132.0,,1600.0,1,0,0,0,0,2,144.0,533.3333333333334
flat,breez global heights,sector 47,0.42,6419.96,654.21,Super Built up area 623(57.88 sq.m.),2,2,2,2.0,,new,623.0,,,0,0,0,0,0,1,47.0,327.105
flat,gls arawali homes,sector 47,0.27,4687.01,576.06,Carpet area: 576 (53.51 sq.m.),2,2,2,1.0,east,new,,,576.0,0,0,0,0,0,1,36.0,288.03
flat,smart world orchard,sector 61,2.24,14460.01,1549.1,Super Built up area 1549(143.91 sq.m.),3,3,2,3.0,,new,1549.0,,,0,0,0,0,1,1,60.0,516.3666666666667
flat,mapsko mount ville,sector 79,1.5,8264.01,1815.1,Super Built up area 1815(168.62 sq.m.)Carpet area: 1071.33 sq.ft. (99.53 sq.m.),3,4,3+,11.0,south,relatively new,1815.0,,1071.33,1,0,0,0,0,0,118.0,605.0333333333333
house,unitech uniworld resorts,sector 33,9.55,19293.01,4949.98,Plot area 550(459.87 sq.m.),6,7,3+,2.0,East,relatively new,,4950.0,,1,1,1,1,0,0,98.0,824.9966666666666
flat,pyramid urban homes 2,sector 86,0.5,9615.01,520.02,Carpet area: 520 (48.31 sq.m.),2,2,1,10.0,,relatively new,,,520.0,0,0,0,0,0,1,13.0,260.01
flat,emaar mgf emerald estate,sector 65,1.7,21013.08,809.02,Super Built up area 1395(129.6 sq.m.)Carpet area: 809 sq.ft. (75.16 sq.m.),3,3,3,7.0,south-east,relatively new,1395.0,,809.0,0,1,0,0,0,0,87.0,269.67333333333335
flat,dlf the skycourt,sector 86,1.35,6998.01,1929.12,Super Built up area 1929(179.21 sq.m.),3,3,1,9.0,north-west,relatively new,1929.0,,,0,0,0,0,0,1,99.0,643.04
flat,allure homes,sector 12,0.72,7271.99,990.1,Carpet area: 990 (91.97 sq.m.),2,2,1,2.0,,relatively new,,,990.0,0,0,0,0,1,0,9.0,495.05
flat,signature global solera,sector 107,0.36,6568.98,548.03,Super Built up area 548(50.91 sq.m.),2,2,1,9.0,south,relatively new,548.0,,,0,0,0,0,0,1,15.0,274.015
flat,tulip violet,sector 69,3.25,10105.0,3216.23,Super Built up area 3216(298.78 sq.m.),4,5,3+,14.0,,relatively new,3216.0,,,0,0,1,0,1,1,13.0,804.0575
flat,birla navya,sector 63,2.1,16666.01,1260.05,Carpet area: 1260 (117.06 sq.m.),2,2,2,2.0,,under construction,,,1260.0,0,0,0,0,0,1,37.0,630.025
house,independent,sector 26,15.0,33332.96,4500.05,Built Up area: 4500 (418.06 sq.m.),4,4,3,3.0,,relatively old,,4500.0,,1,0,0,1,0,0,26.0,1125.0125
flat,ashiana anmol,sector 47,0.9,9463.03,951.07,Super Built up area 1275(118.45 sq.m.)Carpet area: 951 sq.ft. (88.35 sq.m.),2,2,2,13.0,south,relatively new,1275.0,,951.0,0,0,0,0,0,2,101.0,475.535
house,independent,sector 26,20.0,44443.95,4500.05,Plot area 500(418.06 sq.m.),5,7,3+,3.0,West,relatively new,,4500.0,,1,0,1,0,0,2,87.0,900.01
flat,vatika gurgaon,sector 83,1.1,6162.02,1785.13,Super Built up area 1785(165.83 sq.m.)Built Up area: 1600 sq.ft. (148.64 sq.m.)Carpet area: 1500 sq.ft. (139.35 sq.m.),3,3,3+,5.0,north-west,relatively new,1785.0,1600.0,1500.0,0,0,0,0,0,0,79.0,595.0433333333334
flat,parsvnath green ville,sector 48,2.0,7765.0,2575.66,Super Built up area 2125(197.42 sq.m.),3,3,0,15.0,,relatively new,2125.0,,,1,0,0,0,0,1,47.0,858.5533333333333
flat,krrish provence estate,sector 2,5.25,9051.01,5800.46,Super Built up area 5800(538.84 sq.m.),4,5,3+,2.0,north-east,new,5800.0,,,1,1,1,0,0,1,24.0,1450.115
flat,shree vardhman flora,sector 90,1.3,5251.99,2475.25,Super Built up area 2475(229.94 sq.m.)Carpet area: 1825 sq.ft. (169.55 sq.m.),4,5,2,9.0,north-east,relatively new,2475.0,,1825.0,1,1,0,0,0,1,92.0,618.8125
flat,signature global city,sector 37,1.25,6082.01,2055.24,Carpet area: 2055 (190.92 sq.m.),3,3,3,4.0,,under construction,,,2055.0,0,0,0,0,0,1,26.0,685.0799999999999
flat,eldeco accolade,sector 47,1.1,7548.98,1457.15,Super Built up area 1457(135.36 sq.m.),2,2,3+,17.0,,relatively new,1457.0,,,0,1,0,0,1,0,3.0,728.575
flat,paras dews,sector 106,1.1,9734.0,1130.06,Super Built up area 1760(163.51 sq.m.)Built Up area: 1186 sq.ft. (110.18 sq.m.)Carpet area: 1130 sq.ft. (104.98 sq.m.),3,4,3+,8.0,north-west,relatively new,1760.0,1186.0,1130.0,1,0,0,0,0,0,151.0,376.68666666666667
flat,chd avenue,sector 71,0.95,7929.02,1198.13,Super Built up area 1198(111.3 sq.m.),2,2,2,5.0,south,relatively old,1198.0,,,0,0,0,0,0,0,120.0,599.065
flat,kanchanjanga tower,sector 56,1.45,7631.02,1900.14,Super Built up area 1900(176.52 sq.m.),3,3,3+,2.0,north,relatively old,1900.0,,,0,0,0,0,0,0,94.0,633.38
flat,ramprastha the edge towers,sector 37,0.71,5420.01,1309.96,Super Built up area 1310(121.7 sq.m.)Built Up area: 1100 sq.ft. (102.19 sq.m.)Carpet area: 1000 sq.ft. (92.9 sq.m.),2,2,3,10.0,south-east,new,1310.0,1100.0,1000.0,0,0,0,0,1,1,36.0,654.98
house,vipul tatvam villa,sector 48,8.5,26234.97,3239.95,Plot area 360(301.01 sq.m.),4,4,2,,East,relatively old,,3240.0,,1,0,1,1,0,1,68.0,809.9875
flat,dlf the ultima,sector 81,2.25,10552.98,2132.1,Super Built up area 2132(198.07 sq.m.),3,3,3+,6.0,east,new,2132.0,,,1,0,0,0,0,2,146.0,710.6999999999999
flat,satya the hermitage,sector 103,0.93,6403.99,1452.22,Carpet area: 1452 (134.9 sq.m.),2,3,3,3.0,east,relatively new,,,1452.0,1,0,0,0,0,0,59.0,726.11
house,vipul tatvam villa,sector 48,5.5,21218.97,2592.02,Plot area 288(240.8 sq.m.),3,6,2,2.0,North,relatively old,,2592.0,,1,0,0,0,1,0,74.0,864.0066666666667
flat,dlf the primus,sector 82,2.85,10936.01,2606.07,Super Built up area 2606(242.11 sq.m.)Carpet area: 1800 sq.ft. (167.23 sq.m.),4,4,3+,2.0,north-east,new,2606.0,,1800.0,1,0,0,0,0,2,154.0,651.5175
flat,tulip violet,sector 69,1.36,8840.99,1538.29,Super Built up area 1538(142.88 sq.m.),3,3,1,12.0,north-west,relatively new,1538.0,,,0,0,1,0,0,1,82.0,512.7633333333333
house,international city by sobha phase 1,sector 109,6.0,9634.0,6227.94,Plot area 692(578.6 sq.m.),5,5,3+,2.0,South-West,relatively new,,6228.0,,1,1,1,1,0,1,128.0,1245.588
flat,central park resorts,sector 48,3.65,15240.02,2395.01,Super Built up area 1870(173.73 sq.m.)Built Up area: 1869 sq.ft. (173.64 sq.m.),3,3,3+,9.0,north-west,relatively new,1870.0,1869.0,,0,0,0,0,1,0,127.0,798.3366666666667
flat,ansals highland park,sector 104,1.2,6184.99,1940.18,Built Up area: 1940 (180.23 sq.m.),3,3,3+,4.0,,under construction,,1940.0,,1,0,0,0,0,1,,646.7266666666667
house,vipul tatvam villa,sector 48,22.0,26666.99,8249.9,Plot area 1000(836.13 sq.m.),5,6,3,3.0,,relatively old,,1000.0,,1,0,0,0,0,1,49.0,1649.98
flat,experion windchants,sector 112,6.5,10416.0,6240.4,Built Up area: 4800 (445.93 sq.m.),4,5,3,11.0,south,relatively new,,4800.0,,0,0,0,0,0,1,39.0,1560.1
flat,chd avenue,sector 71,1.12,6215.01,1802.09,Super Built up area 1802(167.41 sq.m.),3,4,3,0.0,south-east,relatively old,1802.0,,,1,0,0,0,0,1,51.0,600.6966666666666
flat,ambience creacions,sector 22,2.79,15000.0,1860.0,Super Built up area 1860(172.8 sq.m.)Carpet area: 1300 sq.ft. (120.77 sq.m.),3,3,3,13.0,east,new,1860.0,,1300.0,0,0,0,0,0,2,125.0,620.0
house,independent,sector 26,15.0,33200.02,4518.07,Plot area 502(419.74 sq.m.),5,6,3+,3.0,North,relatively old,,4518.0,,1,1,1,1,0,0,65.0,903.6139999999999
house,sector 14 rwa,sector 14,6.5,26000.0,2500.0,Plot area 2500(232.26 sq.m.),5,5,0,4.0,,relatively old,,2500.0,,0,0,0,0,0,1,,500.0
flat,experion the heartsong,sector 108,1.55,7738.01,2003.1,Super Built up area 2003(186.08 sq.m.)Built Up area: 1750 sq.ft. (162.58 sq.m.)Carpet area: 1550 sq.ft. (144 sq.m.),3,3,3+,7.0,north-east,relatively new,2003.0,1750.0,1550.0,1,0,1,0,0,0,154.0,667.6999999999999
house,independent,sector 31,4.25,26235.05,1619.97,Plot area 204(170.57 sq.m.)Built Up area: 200 sq.yards (167.23 sq.m.)Carpet area: 180 sq.yards (150.5 sq.m.),5,5,3+,3.0,North-East,relatively old,,200.0,180.0,0,0,1,1,0,0,34.0,323.994
flat,smart world gems,sector 89,1.0,9033.02,1107.05,Carpet area: 1107 (102.84 sq.m.),2,2,2,1.0,,under construction,,,1107.0,0,1,0,0,0,1,40.0,553.525
flat,shree vardhman flora,sector 90,0.65,4813.99,1350.23,Super Built up area 1350(125.42 sq.m.),2,2,3,10.0,north,relatively old,1350.0,,,0,1,0,0,0,0,67.0,675.115
flat,hcbs sports ville,sector 47,0.2,2665.99,750.19,Super Built up area 750(69.68 sq.m.)Built Up area: 743 sq.ft. (69.03 sq.m.)Carpet area: 600 sq.ft. (55.74 sq.m.),2,2,1,4.0,,new,750.0,743.0,600.0,0,0,0,0,0,1,10.0,375.095
flat,satya element one,sector 49,0.94,14008.94,671.0,Carpet area: 671 (62.34 sq.m.),1,2,2,2.0,east,undefined,,,671.0,0,0,0,0,0,1,,671.0
flat,bestech park view ananda,sector 81,1.4,7733.99,1810.19,Super Built up area 1810(168.15 sq.m.)Carpet area: 1180 sq.ft. (109.63 sq.m.),3,3,3+,6.0,north-west,relatively new,1810.0,,1180.0,0,0,0,0,0,1,71.0,603.3966666666666
flat,tulip violet,sector 69,1.4,8928.0,1568.1,Super Built up area 1568(145.67 sq.m.)Carpet area: 1200 sq.ft. (111.48 sq.m.),3,3,1,12.0,north,relatively new,1568.0,,1200.0,0,0,1,0,0,1,154.0,522.6999999999999
flat,indiabulls centrum park,sector 103,2.4,8347.01,2875.28,Super Built up area 2875(267.1 sq.m.)Built Up area: 2456 sq.ft. (228.17 sq.m.)Carpet area: 2100 sq.ft. (195.1 sq.m.),4,6,3+,15.0,north-east,relatively new,2875.0,2456.0,2100.0,1,0,0,0,0,1,136.0,718.82
house,independent,sector 110,0.34,6800.0,500.0,Built Up area: 500 (46.45 sq.m.),1,1,0,1.0,,undefined,,500.0,,0,0,0,0,0,1,,500.0
flat,ireo skyon,sector 60,2.05,15184.96,1350.02,Super Built up area 1524(141.58 sq.m.)Built Up area: 1520 sq.ft. (141.21 sq.m.)Carpet area: 1350 sq.ft. (125.42 sq.m.),2,3,2,2.0,north-east,relatively new,1524.0,1520.0,1350.0,0,0,0,1,0,0,151.0,675.01
flat,ss the leaf,sector 85,2.15,8928.02,2408.15,Super Built up area 2408(223.71 sq.m.),3,5,3,2.0,,new,2408.0,,,0,0,0,0,0,1,58.0,802.7166666666667
house,independent,sector 25,13.5,19285.99,6999.9,Built Up area: 7000 (650.32 sq.m.),9,9,0,1.0,East,relatively new,,7000.0,,0,0,0,0,0,1,,777.7666666666667
flat,vatika city,sector 49,1.98,9073.99,2182.06,Super Built up area 2182(202.71 sq.m.)Built Up area: 1750.75 sq.ft. (162.65 sq.m.)Carpet area: 1670 sq.ft. (155.15 sq.m.),3,4,3,9.0,south-east,relatively old,2182.0,1670.02,1670.0,1,0,0,0,0,0,90.0,727.3533333333334
house,independent,sector 46,2.4,2963.0,8099.91,Plot area 100(83.61 sq.m.),4,4,3,3.0,East,relatively old,,900.0,,0,0,0,1,0,0,35.0,2024.9775
flat,unitech greenwood city,sector 45,2.4,12346.0,1943.95,Super Built up area 216(180.6 sq.m.),3,3,2,1.0,north-west,new,216.0,,,1,0,0,0,0,0,10.0,647.9833333333333
flat,chintamani,sector 103,1.57,8508.98,1845.11,Built Up area: 1845 (171.41 sq.m.)Carpet area: 1350 sq.ft. (125.42 sq.m.),3,3,3,1.0,north-east,undefined,,1845.0,1350.0,0,0,0,0,0,1,,615.0366666666666
flat,pareena coban residences,sector 99,1.3,6509.99,1996.93,Built Up area: 1997 (185.53 sq.m.),3,3,0,16.0,,undefined,,1997.0,,0,0,0,0,0,1,,665.6433333333333
flat,m3m woodshire,sector 107,0.8,5856.0,1366.12,Super Built up area 1366(126.91 sq.m.),2,2,3+,14.0,,new,1366.0,,,0,0,0,0,0,1,49.0,683.06
flat,shree vardhman flora,sector 90,0.7,5325.02,1314.55,Super Built up area 1352(125.6 sq.m.)Built Up area: 1350 sq.ft. (125.42 sq.m.),2,2,3,9.0,east,new,1352.0,1350.0,,0,1,0,0,0,1,60.0,657.275
flat,lotus homz,sector 111,0.6,8449.99,710.06,Carpet area: 710 (65.96 sq.m.),2,2,3,9.0,east,new,,,710.0,0,0,0,0,0,1,34.0,355.03
flat,ansal heights 86,sector 86,0.67,5099.98,1313.73,Super Built up area 1360(126.35 sq.m.),2,2,1,10.0,,relatively new,1360.0,,,0,0,0,0,0,1,84.0,656.865
flat,dlf belvedere towers,sector 25,3.4,13765.01,2470.03,Carpet area: 2470 (229.47 sq.m.),4,4,3,1.0,south-east,old,,,2470.0,1,0,0,0,0,1,16.0,617.5075
house,ansals palam vihar,sector 2,5.0,12500.0,4000.0,Built Up area: 4000 (371.61 sq.m.),6,4,0,3.0,,undefined,,4000.0,,0,0,0,0,0,1,,666.6666666666666
flat,smart world gems,sector 89,1.71,12000.0,1425.0,Built Up area: 1423 (132.2 sq.m.),3,2,0,3.0,,undefined,,1423.0,,0,0,0,0,0,1,58.0,475.0
flat,tulip white,sector 69,0.9,6000.0,1500.0,Super Built up area 1500(139.35 sq.m.)Built Up area: 1326 sq.ft. (123.19 sq.m.)Carpet area: 1050 sq.ft. (97.55 sq.m.),3,2,3+,1.0,west,relatively new,1500.0,1326.0,1050.0,0,0,0,0,0,0,134.0,500.0
flat,tulip violet,sector 69,1.95,9701.01,2010.1,Super Built up area 2010(186.74 sq.m.),4,4,2,0.0,west,relatively new,2010.0,,,0,0,0,0,0,1,137.0,502.525
house,dlf city plots,sector 26,12.5,38580.01,3240.02,Plot area 360(301.01 sq.m.),4,5,2,2.0,North-East,relatively old,,3240.0,,1,1,0,0,0,0,101.0,810.005
flat,tata gurgaon gateway,sector 113,6.0,9139.0,6565.27,Carpet area: 6565 (609.91 sq.m.),5,6,3+,24.0,north,relatively old,,,6565.0,0,0,0,0,0,1,93.0,1313.054
flat,ashiana mulberry,sector 47,0.95,6485.0,1464.92,Super Built up area 1465(136.1 sq.m.)Built Up area: 1175.97 sq.ft. (109.25 sq.m.)Carpet area: 834.96 sq.ft. (77.57 sq.m.),2,2,3+,3.0,,new,1465.0,834.96,834.96,0,1,0,0,0,1,57.0,732.46
flat,antriksh heights,sector 84,0.6,5000.0,1200.0,Super Built up area 1200(111.48 sq.m.),2,2,2,14.0,north,relatively new,1200.0,,,0,0,0,0,0,1,53.0,600.0
flat,raheja sampada,sector 92,0.9,6569.01,1370.07,Super Built up area 1370(127.28 sq.m.),3,2,3,11.0,east,relatively new,1370.0,,,0,0,0,0,0,1,67.0,456.69
flat,umang winter hills,sector 77,1.0,7500.02,1333.33,Carpet area: 1340 (124.49 sq.m.),2,2,2,3.0,,new,,,1340.0,0,0,0,0,0,1,53.0,666.665
house,tulip yellow,sector 69,2.95,16388.98,1799.99,Plot area 200(167.23 sq.m.),4,3,2,3.0,North,new,,1800.0,,0,0,1,0,1,2,73.0,449.9975
house,independent,sector 43,3.35,26973.06,1241.98,Plot area 138(115.39 sq.m.),1,1,0,1.0,East,old,,1242.0,,0,0,0,0,0,1,9.0,1241.98
house,independent,sector 25,10.85,38149.96,2844.04,Plot area 316(264.22 sq.m.),6,6,1,3.0,North-East,relatively new,,2844.0,,0,0,0,1,0,0,110.0,474.00666666666666
flat,raheja vedaanta,sector 108,1.5,5262.99,2850.09,Built Up area: 2850 (264.77 sq.m.),3,4,0,12.0,,undefined,,2850.0,,0,0,0,0,0,1,,950.0300000000001
flat,orchid petals,sector 49,1.95,9971.98,1955.48,Super Built up area 1805(167.69 sq.m.),3,3,3,2.0,east,old,1805.0,,,0,0,0,0,0,0,68.0,651.8266666666667
house,housing board colony,sector 28,5.5,30556.06,1799.97,Plot area 200(167.23 sq.m.),4,3,3,2.0,North,old,,1800.0,,0,0,1,0,1,0,10.0,449.9925
flat,signature global synera,sector 81,0.39,6500.0,600.0,Carpet area: 600 (55.74 sq.m.),2,2,2,6.0,south-west,relatively new,,,600.0,0,0,0,0,0,1,29.0,300.0
house,independent,sector 13,1.5,10517.98,1426.13,Plot area 1426(132.48 sq.m.),2,2,2,3.0,South-West,old,,1426.0,,0,1,1,0,0,1,4.0,713.065
flat,vidya apartment,sector 5,0.22,4209.96,522.57,Built Up area: 570 (52.95 sq.m.)Carpet area: 550 sq.ft. (51.1 sq.m.),2,2,1,1.0,north-west,relatively new,,570.0,550.0,0,0,0,0,1,2,18.0,261.285
flat,indiabulls enigma,sector 110,3.3,9850.01,3350.25,Super Built up area 3350(311.23 sq.m.),4,5,3,7.0,east,relatively new,3350.0,,,1,0,0,0,0,1,88.0,837.5625
house,independent,sector 28,8.4,34568.04,2429.99,Plot area 270(225.75 sq.m.),4,4,3+,2.0,North-East,relatively new,,2430.0,,1,0,1,1,0,0,112.0,607.4975
flat,supertech araville,sector 79,1.35,6940.02,1945.24,Carpet area: 1945 (180.7 sq.m.),3,3,3,4.0,,relatively new,,,1945.0,0,0,0,0,0,1,,648.4133333333333
house,vipul tatvam villa,sector 48,7.25,22376.54,3240.0,Plot area 360(33.45 sq.m.),4,4,3,2.0,,relatively new,,360.0,,1,1,1,1,0,0,94.0,810.0
flat,smart world gems,sector 89,1.2,12525.97,958.01,Carpet area: 958 (89 sq.m.),3,3,3,3.0,east,under construction,,,958.0,0,0,1,1,0,1,107.0,319.33666666666664
flat,emaar mgf palm hills,sector 77,1.65,8461.02,1950.12,Super Built up area 1950(181.16 sq.m.),4,3,3,9.0,south,relatively new,1950.0,,,1,0,0,0,0,1,77.0,487.53
house,vipul tatvam villa,sector 48,7.35,22811.99,3221.99,Plot area 358(299.33 sq.m.),4,5,2,2.0,South,relatively old,,3222.0,,1,1,1,1,0,0,120.0,805.4975
flat,umang monsoon breeze,sector 78,0.7,5719.0,1223.99,Built Up area: 1224 (113.71 sq.m.),2,2,2,5.0,,undefined,,1224.0,,0,0,0,0,0,1,,611.995
flat,umang monsoon breeze,sector 78,0.75,6052.98,1239.06,Built Up area: 1239 (115.11 sq.m.)Carpet area: 1100 sq.ft. (102.19 sq.m.),2,2,1,5.0,east,undefined,,1239.0,1100.0,0,0,0,0,0,1,,619.53
house,unitech espace,sector 50,7.35,41762.08,1759.97,Plot area 240(200.67 sq.m.),4,4,3+,3.0,South,relatively old,,240.0,,1,0,1,0,0,0,40.0,439.9925
flat,chd avenue,sector 71,1.3,5531.0,2350.39,Super Built up area 2350(218.32 sq.m.),4,4,3,5.0,north-east,relatively old,2350.0,,,1,0,0,0,0,1,113.0,587.5975
flat,godrej nature plus,sector 47,1.75,8768.02,1995.89,Built Up area: 1996 (185.43 sq.m.),3,3,0,2.0,,undefined,,1996.0,,0,0,0,0,0,1,59.0,665.2966666666667
house,dlf the grove,sector 54,5.7,23456.79,2430.0,Built Up area: 270 (25.08 sq.m.),4,4,0,1.0,,undefined,,270.0,,0,0,0,0,0,1,41.0,607.5
flat,pareena mi casa,sector 68,1.7,8504.0,1999.06,Super Built up area 1999(185.71 sq.m.),4,4,3,2.0,,new,1999.0,,,0,0,0,0,0,1,54.0,499.765
flat,dlf city plots phase 3,sector 24,6.5,18571.0,3500.08,Carpet area: 3500 (325.16 sq.m.),4,5,3+,3.0,north-east,new,,,3500.0,1,0,0,0,0,2,21.0,875.02
house,independent,sector 105,0.7,5832.99,1200.07,Built Up area: 1200 (111.48 sq.m.),3,2,2,1.0,,undefined,,1200.0,,0,0,0,0,0,1,,400.0233333333333
house,ansal sushant residency,sector 57,4.6,17036.97,2700.01,Plot area 300(250.84 sq.m.),6,6,3,3.0,East,old,,2700.0,,1,1,1,1,0,2,90.0,450.0016666666667
house,independent,sector 26,6.75,27778.01,2429.98,Plot area 270(225.75 sq.m.),3,3,3,2.0,North-East,relatively old,,2430.0,,0,0,0,0,0,1,17.0,809.9933333333333
house,international city by sobha phase 1,sector 109,6.0,24690.95,2430.04,Plot area 270(225.75 sq.m.),4,5,3+,2.0,North,relatively new,,2430.0,,1,0,0,0,0,0,76.0,607.51
flat,smart world gems,sector 89,0.86,7796.0,1103.13,Carpet area: 1103 (102.47 sq.m.),2,3,2,4.0,north-east,new,,,1103.0,1,1,1,0,0,0,51.0,551.565
flat,ild grand centra,sector 37,0.95,5220.01,1819.92,Built Up area: 1820 (169.08 sq.m.),3,1,0,0.0,,undefined,,1820.0,,0,0,0,0,0,1,,606.64
flat,signature global solera,sector 107,0.36,6488.94,554.79,Carpet area: 547 (50.82 sq.m.),2,2,2,8.0,north-west,relatively new,,,547.0,0,0,0,0,0,1,33.0,277.395
flat,sare crescent parc,sector 92,0.7,5556.0,1259.9,Built Up area: 140 (117.06 sq.m.),3,3,2,14.0,,under construction,,140.0,,0,0,0,0,0,1,37.0,419.9666666666667
flat,apex builders,sector 37,0.42,5600.0,750.0,Carpet area: 750 (69.68 sq.m.),2,2,2,4.0,north,relatively new,,,750.0,0,0,0,0,0,1,21.0,375.0
house,unitech espace,sector 50,11.29,34846.0,3239.97,Plot area 360(301.01 sq.m.),5,5,3+,2.0,,relatively old,,3240.0,,0,1,1,0,0,1,13.0,647.9939999999999
flat,om appartments,sector 5,0.4,4444.0,900.09,Carpet area: 900 (83.61 sq.m.),3,2,1,3.0,,relatively new,,,900.0,0,0,0,0,0,1,3.0,300.03000000000003
flat,vipul world,sector 48,1.38,9481.99,1455.39,Carpet area: 1450 (134.71 sq.m.),3,3,1,2.0,,relatively new,,,1450.0,0,0,0,0,0,1,43.0,485.13000000000005
