property_type,society,sector,price_in_cr,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,servant room,study room,pooja room,store room,others,furnishing_type,luxury_score,area_bedroom_ratio
house,independent,sector 57,4.75,28787.01,1650.05,Plot area 1600(148.64 sq.m.)Built Up area: 1700 sq.ft. (157.94 sq.m.)Carpet area: 1650 sq.ft. (153.29 sq.m.),3,3,3,2.0,North-West,relatively old,,1700.0,1650.0,0,0,0,1,0,0,73.0,550.0166666666667
flat,krrish provence estate,sector 2,7.5,7500.0,10000.0,Super Built up area 10000(929.03 sq.m.),5,6,3+,23.0,north-east,relatively new,10000.0,,,1,0,1,0,1,1,24.0,2000.0
flat,parsvnath exotica,sector 53,6.5,19173.98,3390.01,Super Built up area 3390(314.94 sq.m.)Built Up area: 3000 sq.ft. (278.71 sq.m.)Carpet area: 2500 sq.ft. (232.26 sq.m.),4,5,3+,10.0,south,relatively new,3390.0,3000.0,2500.0,1,1,1,0,0,0,151.0,847.5025
flat,mapsko mount ville,sector 79,1.3,8724.01,1490.14,Super Built up area 1490(138.43 sq.m.)Built Up area: 1176 sq.ft. (109.25 sq.m.)Carpet area: 863.91 sq.ft. (80.26 sq.m.),3,3,3,19.0,east,relatively new,1490.0,1176.0,863.91,0,0,0,1,0,0,88.0,496.71333333333337
flat,chd avenue,sector 71,1.35,5744.0,2350.28,Super Built up area 2350(218.32 sq.m.),4,4,3,8.0,north-west,relatively old,2350.0,,,1,0,0,0,0,1,16.0,587.57
flat,corona optus,sector 37,1.4,7035.0,1990.05,Super Built up area 1990(184.88 sq.m.)Built Up area: 1890 sq.ft. (175.59 sq.m.)Carpet area: 1790 sq.ft. (166.3 sq.m.),3,3,3+,4.0,south,relatively new,1990.0,1890.0,1790.0,1,0,0,0,0,1,127.0,663.35
flat,raheja vedaanta,sector 108,0.7,4521.99,1547.99,Built Up area: 1548 (143.81 sq.m.)Carpet area: 1200 sq.ft. (111.48 sq.m.),2,2,3,1.0,west,undefined,,1548.0,1200.0,0,0,0,0,0,1,,773.995
flat,umang winter hills,sector 77,1.0,7500.02,1333.33,Carpet area: 1340 (124.49 sq.m.),2,2,2,3.0,,new,,,1340.0,0,0,0,0,0,1,53.0,666.665
flat,vatika the seven lamps,sector 82,0.94,6533.0,1438.85,Super Built up area 1435(133.32 sq.m.),2,2,3+,9.0,north,relatively new,1435.0,,,0,1,0,0,0,0,96.0,719.425
house,independent,sector 57,3.15,20348.97,1547.99,Plot area 172(143.81 sq.m.),5,4,3+,2.0,North-East,relatively old,,1548.0,,0,0,0,1,0,0,48.0,309.598
house,independent,sector 14,4.15,18444.03,2250.05,Plot area 250(209.03 sq.m.),5,4,2,2.0,North-West,old,,2250.0,,0,0,0,0,0,0,34.0,450.01000000000005
flat,bestech park view ananda,sector 81,1.1,6686.0,1645.23,Super Built up area 1645(152.83 sq.m.)Carpet area: 1034 sq.ft. (96.06 sq.m.),3,2,3+,5.0,east,relatively new,1645.0,,1034.0,0,0,0,0,0,1,125.0,548.41
house,not applicable,sector 3,0.4,9259.04,432.01,Plot area 432(40.13 sq.m.),1,1,1,1.0,,relatively old,,432.0,,0,0,0,0,0,1,,432.01
flat,apartment,sector 92,0.75,4687.0,1600.17,Carpet area: 1600 (148.64 sq.m.),3,4,3,2.0,east,relatively old,,,1600.0,0,1,0,0,0,1,89.0,533.39
house,independent,sector 28,1.45,8000.0,1812.5,Built Up area: 1800 (167.23 sq.m.)Carpet area: 900 sq.ft. (83.61 sq.m.),3,2,1,1.0,North,relatively new,,1800.0,900.0,0,0,0,0,0,1,,604.1666666666666
flat,ss the leaf,sector 85,1.77,7350.01,2408.16,Super Built up area 2408(223.71 sq.m.)Built Up area: 1450 sq.ft. (134.71 sq.m.)Carpet area: 1300 sq.ft. (120.77 sq.m.),3,4,3,6.0,south-east,relatively old,2408.0,1450.0,1300.0,1,0,0,0,0,0,115.0,802.7199999999999
flat,tata primanti,sector 72,3.5,11428.01,3062.65,Built Up area: 2625 (243.87 sq.m.),4,5,3+,16.0,east,relatively new,,2625.0,,1,0,0,0,1,1,33.0,765.6625
flat,afnhb jalvayu vihar,sector 30,0.69,7272.04,948.84,Super Built up area 990(91.97 sq.m.),2,2,1,3.0,north-east,old,990.0,,,0,0,0,0,0,1,39.0,474.42
flat,adani m2k oyster grande,sector 102,2.35,8468.01,2775.15,Super Built up area 2598(241.36 sq.m.),3,3,3,14.0,east,relatively new,2598.0,,,1,1,0,0,0,0,142.0,925.0500000000001
flat,rail vihar cghs,sector 56,1.35,10383.98,1300.08,Super Built up area 1300(120.77 sq.m.)Built Up area: 1275 sq.ft. (118.45 sq.m.)Carpet area: 1250 sq.ft. (116.13 sq.m.),3,2,2,1.0,west,old,1300.0,1275.0,1250.0,0,0,0,0,1,1,142.0,433.35999999999996
flat,la vida by tata housing,sector 113,1.5,11755.03,1276.05,Carpet area: 1276 (118.54 sq.m.),2,2,2,13.0,,new,,,1276.0,0,0,0,0,0,1,69.0,638.025
flat,dlf the ultima,sector 81,2.3,10935.98,2103.15,Super Built up area 2103(195.38 sq.m.)Built Up area: 1617 sq.ft. (150.22 sq.m.)Carpet area: 1257 sq.ft. (116.78 sq.m.),3,3,3+,19.0,east,relatively new,2103.0,1617.0,1257.0,1,1,1,0,1,2,24.0,701.0500000000001
flat,godrej aria,sector 79,0.96,13296.03,722.02,Super Built up area 1351(125.51 sq.m.)Carpet area: 722 sq.ft. (67.08 sq.m.),2,2,3,8.0,north-east,relatively new,1351.0,,722.0,0,0,0,0,0,1,24.0,361.01
house,independent,sector 25,9.5,33404.01,2843.97,Plot area 316(264.22 sq.m.),9,9,3+,3.0,North-West,old,,2844.0,,0,0,0,0,1,1,53.0,315.99666666666667
flat,tulip violet,sector 69,1.36,8618.01,1578.09,Super Built up area 1578(146.6 sq.m.),3,3,2,12.0,west,relatively new,1578.0,,,0,0,1,0,0,0,24.0,526.03
flat,godrej habitat,sector 3,1.35,12783.97,1056.01,Built Up area: 1056 (98.11 sq.m.)Carpet area: 912 sq.ft. (84.73 sq.m.),2,2,0,4.0,north-east,undefined,,1056.0,912.0,0,0,0,0,0,1,50.0,528.005
